id,at1-clust1,at1-clust2,at2-clust1,at2-clust2,ag-clust1,ag-clust2,ag-clust3
kac180_fowleri,,,,,0.1967,0.802,0.0012
kac186_fowleri,,,,,0.0311,0.966,0.00275
kac201803102_fowleri,,,,,0,0.9992,0
kac201908252_fowleri,,,,,0,0.999,0
kac202_fowleri,,,,,0.00055,0.999,0.00015
kac203_fowleri,,,,,0.0001,0.999,5.00E-05
kac204_fowleri,,,,,0.02415,0.97435,0.0013
kac226_fowleri,,,,,0.03285,0.96675,0
kac240_fowleri,,,,,0.131,0.8679,0.001
kac241_fowleri,,,,,0.0008,0.999,0.00085
msb100800_woodhousii,,,,,0.001,0.9977,0.0014
msb104731_woodhousii,,,,,0.0006,0.9683,0.0313
msb75646_woodhousii,,,,,0.00095,0.9986,0.001
t3040_fowleri,,,,,0.03635,0.9621,0.00145
utep18705_woodhousii,,,,,0.0028,0.9888,0.00855
utep19941_fowleri,,,,,0.0195,0.89535,0.08515
utep19943_fowleri,,,,,0.0101,0.98805,0.00195
utep20105_woodhousii,,,,,0.00225,0.99655,0.001
utep20482_woodhousii,,,,,0.08935,0.9081,0.00255
utep21886_woodhousii,,,,,0.001,0.99825,0.00095
