"","Cluster1","Cluster2","Cluster3"
"aht1975_americanus",0.0271,0.003,0.9698
"aht2456_terrestris",0.88115,0.003,0.11585
"aht2564_terrestris",0.99015,0.00915,0.001
"aht2885_terrestris",0.98665,0.01265,0.001
"aht3413_fowleri",0.63705,0.2797,0.0834
"aht3419_terrestris",0.80995,0.05375,0.13625
"aht3421_terrestris",0.8999,0.0395,0.0605
"aht3428_terrestris",0.999,0.00025,5e-05
"aht3459_americanus",0.0201,0.0051,0.97515
"aht3460_americanus",0.00045,0.001,0.99805
"aht3461_americanus",0.00085,0.0299,0.96945
"aht3462_americanus",0.00075,8e-04,0.99895
"aht3463_americanus",0.001,0,0.999
"aht3658_fowleri",0,0.99925,0
"aht3665_fowleri",0.001,0.999,0
"aht3833_terrestris",0.999,0.00015,0.001
"aht3997_terrestris",0.84055,0.07685,0.08255
"aht3998_terrestris",0.7312,0.16835,0.1004
"aht4373_americanus",0.001,0.05795,0.94125
"aht5277_terrestris",0.999,0.00015,0.00075
"aht5278_terrestris",0.999,0.00015,9e-04
"hera10025_fowleri",0,0.99905,0
"hera10233_americanus",0.000950000000000001,0,0.999
"hera10239_americanus",0.001,9e-04,0.99815
"hera10248_americanus",0.000950000000000001,0.01565,0.98355
"hera10255_americanus",0.001,0.0224,0.97655
"hera10350_americanus",0.001,0.00045,0.99895
"hera10372_americanus",0.001,5e-04,0.99895
"hera10396_fowleri",0,0.9951,0.00475
"hera10493_fowleri",0.00185,0.9946,0.0037
"hera15787_americanus",0.001,0.04715,0.9522
"hera20415_woodhousii",0.0807,0.9098,0.00935
"hera20514_fowleri",0.001,0.99895,1e-04
"inhs17016_americanus",0.0011,0.05625,0.9425
"inhs21799_americanus",0.001,0.00085,0.99845
"kac100_terrestris",0.97975,0.01715,0.0032
"kac101_americanus",0.00015,0,0.999
"kac102_terrestris",0.9656,0.02115,0.0133
"kac103_terrestris",0.9309,0.05815,0.0109
"kac104_terrestris",0.885,0.00445,0.11065
"kac105_americanus",7e-04,0,0.999
"kac106_americanus",8e-04,0,0.999
"kac107_americanus",3e-04,0,0.999
"kac108_terrestris",0.91755,0.00285,0.07965
"kac110_americanus",1e-04,1e-04,0.999
"kac111_americanus",0.4804,0.03785,0.4817
"kac112_terrestris",0.9627,0.001,0.0364
"kac116_americanus",0.00045,0,0.999
"kac121_terrestris",0.9863,0.001,0.01305
"kac123_terrestris",0.9302,0.0621,0.0078
"kac124_terrestris",0.9748,0.0242,0.001
"kac126_terrestris",0.94485,0.04105,0.014
"kac133_terrestris",0.99265,0.0011,0.0061
"kac134_terrestris",0.99195,0.00235,0.00565
"kac135_terrestris",0.96325,0.02155,0.01545
"kac136_terrestris",0.94125,0.001,0.05785
"kac137_fowleri",0.0041,0.9951,0.001
"kac138_americanus",0.001,0.55975,0.4396
"kac139_americanus",0.00045,4e-04,0.999
"kac140_terrestris",0.99705,0.001,0.0019
"kac141_terrestris",0.84505,0.1541,0.001
"kac142_terrestris",0.7861,0.20825,0.00565
"kac143_terrestris",0.92835,0.0577,0.01385
"kac144_terrestris",0.9215,0.078,0.00085
"kac145_terrestris",0.8727,0.12665,0.000950000000000001
"kac146_terrestris",0.9947,0.00465,0.001
"kac147_terrestris",0.88685,0.09675,0.01635
"kac148_terrestris",0.9985,0.001,0.001
"kac149_terrestris",0.9572,0.00245,0.0402
"kac150_terrestris",0.99115,0.00665,0.0022
"kac151_terrestris",0.9435,0.04765,0.00885
"kac153_terrestris",0.8471,0.12335,0.02975
"kac154_terrestris",0.9904,0.000950000000000001,0.00885
"kac155_terrestris",0.89125,0.0302,0.0786
"kac156_terrestris",0.96855,0.0297,0.0018
"kac157_fowleri",0.0455,0.95315,0.00135
"kac158_terrestris",0.8387,0.15925,0.00225
"kac159_terrestris",0.9894,0.00995,9e-04
"kac16_terrestris",0.9989,5e-05,0.001
"kac160_terrestris",0.99365,0.0025,0.0038
"kac161_terrestris",0.64245,0.35545,0.0021
